Level,Dimension,log10_alpha,log10_mass_GeV,log10_wavelength_meters,log10_N_weyl
256,229265413057075367692743352179590077832064383222590237,-4.791363766573485e+52,-4.791363766573485e+52,4.791363766573485e+52,212.36217292225848
257,370959230771131880927453318055001997489772178180790104,-7.752589426780616e+52,-7.752589426780616e+52,7.752589426780616e+52,213.1981234832584
258,600224643828207248620196670234592075321836561403380341,-1.2543953193354102e+53,-1.2543953193354102e+53,1.2543953193354102e+53,214.03407404425832
259,971183874599339129547649988289594072811608739584170445,-2.0296542620134717e+53,-2.0296542620134717e+53,2.0296542620134717e+53,214.8700246052582
260,1571408518427546378167846658524186148133445300987550786,-3.284049581348882e+53,-3.284049581348882e+53,3.284049581348882e+53,215.70597516625813
261,2542592393026885507715496646813780220945054040571721231,-5.313703843362354e+53,-5.313703843362354e+53,5.313703843362354e+53,216.54192572725805
262,4114000911454431885883343305337966369078499341559272017,-8.597753424711235e+53,-8.597753424711235e+53,8.597753424711235e+53,217.37787628825797
263,6656593304481317393598839952151746590023553382130993248,-1.3911457268073588e+54,-1.3911457268073588e+54,1.3911457268073588e+54,218.21382684925788
264,10770594215935749279482183257489712959102052723690265265,-2.2509210692784823e+54,-2.2509210692784823e+54,2.2509210692784823e+54,219.0497774102578
265,17427187520417066673081023209641459549125606105821258513,-3.642066796085842e+54,-3.642066796085842e+54,3.642066796085842e+54,219.88572797125772
266,28197781736352815952563206467131172508227658829511523778,-5.8929878653643245e+54,-5.8929878653643245e+54,5.8929878653643245e+54,220.7216785322576
267,45624969256769882625644229676772632057353264935332782291,-9.535054661450164e+54,-9.535054661450164e+54,9.535054661450164e+54,221.55762909325753
268,73822750993122698578207436143903804565580923764844306069,-1.542804252681449e+55,-1.542804252681449e+55,1.542804252681449e+55,222.39357965425745
269,119447720249892581203851665820676436622934188700177088360,-2.4963097188264656e+55,-2.4963097188264656e+55,2.4963097188264656e+55,223.22953021525737
270,193270471243015279782059101964580241188515112465021394429,-4.039113971507914e+55,-4.039113971507914e+55,4.039113971507914e+55,224.0654807762573
271,312718191492907860985910767785256677811449301165198482789,-6.53542369033438e+55,-6.53542369033438e+55,6.53542369033438e+55,224.9014313372572
272,505988662735923140767969869749836918999964413630219877218,-1.0574537661842294e+56,-1.0574537661842294e+56,1.0574537661842294e+56,225.73738189825713
273,818706854228831001753880637535093596811413714795418360007,-1.7109961352176673e+56,-1.7109961352176673e+56,1.7109961352176673e+56,226.57333245925702
274,1324695516964754142521850507284930515811378128425638237225,-2.7684499014018968e+56,-2.7684499014018968e+56,2.7684499014018968e+56,227.40928302025694
275,2143402371193585144275731144820024112622791843221056597232,-4.4794460366195635e+56,-4.4794460366195635e+56,4.4794460366195635e+56,228.24523358125685
276,3468097888158339286797581652104954628434169971646694834457,-7.247895938021461e+56,-7.247895938021461e+56,7.247895938021461e+56,229.08118414225677
277,5611500259351924431073312796924978741056961814867751431689,-1.1727341974641025e+57,-1.1727341974641025e+57,1.1727341974641025e+57,229.9171347032567
278,9079598147510263717870894449029933369491131786514446266146,-1.8975237912662485e+57,-1.8975237912662485e+57,1.8975237912662485e+57,230.7530852642566
279,14691098406862188148944207245954912110548093601382197697835,-3.070257988730351e+57,-3.070257988730351e+57,3.070257988730351e+57,231.58903582525653
280,23770696554372451866815101694984845480039225387896643963981,-4.9677817799965994e+57,-4.9677817799965994e+57,4.9677817799965994e+57,232.42498638625642
281,38461794961234640015759308940939757590587318989278841661816,-8.03803976872695e+57,-8.03803976872695e+57,8.03803976872695e+57,233.26093694725634
282,62232491515607091882574410635924603070626544377175485625797,-1.300582154872355e+58,-1.300582154872355e+58,1.300582154872355e+58,234.09688750825626
283,100694286476841731898333719576864360661213863366454327287613,-2.1043861317450498e+58,-2.1043861317450498e+58,2.1043861317450498e+58,234.93283806925618
284,162926777992448823780908130212788963731840407743629812913410,-3.404968286617405e+58,-3.404968286617405e+58,3.404968286617405e+58,235.7687886302561
285,263621064469290555679241849789653324393054271110084140201023,-5.509354418362456e+58,-5.509354418362456e+58,5.509354418362456e+58,236.60473919125602
286,426547842461739379460149980002442288124894678853713953114433,-8.914322704979861e+58,-8.914322704979861e+58,8.914322704979861e+58,237.44068975225593
287,690168906931029935139391829792095612517948949963798093315456,-1.4423677123342317e+59,-1.4423677123342317e+59,1.4423677123342317e+59,238.27664031325583
288,1116716749392769314599541809794537900642843628817512046429889,-2.333799982832218e+59,-2.333799982832218e+59,2.333799982832218e+59,239.11259087425574
289,1806885656323799249738933639586633513160792578781310139745345,-3.776167695166449e+59,-3.776167695166449e+59,3.776167695166449e+59,239.94854143525566
290,2923602405716568564338475449381171413803636207598822186175234,-6.109967677998667e+59,-6.109967677998667e+59,6.109967677998667e+59,240.78449199625558
291,4730488062040367814077409088967804926964428786380132325920579,-9.886135373165115e+59,-9.886135373165115e+59,9.886135373165115e+59,241.6204425572555
292,7654090467756936378415884538348976340768064993978954512095813,-1.5996103051163783e+60,-1.5996103051163783e+60,1.5996103051163783e+60,242.45639311825542
293,12384578529797304192493293627316781267732493780359086838016392,-2.58822384243289e+60,-2.58822384243289e+60,2.58822384243289e+60,243.29234367925534
294,20038668997554240570909178165665757608500558774338041350112205,-4.187834147549268e+60,-4.187834147549268e+60,4.187834147549268e+60,244.12829424025523
295,32423247527351544763402471792982538876233052554697128188128597,-6.776057989982159e+60,-6.776057989982159e+60,6.776057989982159e+60,244.96424480125515
296,52461916524905785334311649958648296484733611329035169538240802,-1.0963892137531425e+61,-1.0963892137531425e+61,1.0963892137531425e+61,245.80019536225507
297,84885164052257330097714121751630835360966663883732297726369399,-1.7739950127513584e+61,-1.7739950127513584e+61,1.7739950127513584e+61,246.636145923255
298,137347080577163115432025771710279131845700275212767467264610201,-2.870384226504501e+61,-2.870384226504501e+61,2.870384226504501e+61,247.4720964842549
299,222232244629420445529739893461909967206666939096499764990979600,-4.644379239255859e+61,-4.644379239255859e+61,4.644379239255859e+61,248.30804704525482
300,359579325206583560961765665172189099052367214309267232255589801,-7.514763465760361e+61,-7.514763465760361e+61,7.514763465760361e+61,249.14399760625474
301,581811569836004006491505558634099066259034153405766997246569401,-1.2159142705016219e+62,-1.2159142705016219e+62,1.2159142705016219e+62,249.97994816725466
302,941390895042587567453271223806288165311401367715034229502159202,-1.967390617077658e+62,-1.967390617077658e+62,1.967390617077658e+62,250.81589872825455
303,1523202464878591573944776782440387231570435521120801226748728603,-3.1833048875792803e+62,-3.1833048875792803e+62,3.1833048875792803e+62,251.65184928925447
304,2464593359921179141398048006246675396881836888835835456250887805,-5.150695504656938e+62,-5.150695504656938e+62,5.150695504656938e+62,252.4877998502544
305,3987795824799770715342824788687062628452272409956636682999616408,-8.334000392236219e+62,-8.334000392236219e+62,8.334000392236219e+62,253.3237504112543
306,6452389184720949856740872794933738025334109298792472139250504213,-1.3484695896893157e+63,-1.3484695896893157e+63,1.3484695896893157e+63,254.15970097225423
307,10440185009520720572083697583620800653786381708749108822250120621,-2.1818696289129376e+63,-2.1818696289129376e+63,2.1818696289129376e+63,254.99565153325415
308,16892574194241670428824570378554538679120491007541580961500624834,-3.530339218602253e+63,-3.530339218602253e+63,3.530339218602253e+63,255.83160209425407
309,27332759203762391000908267962175339332906872716290689783750745455,-5.712208847515191e+63,-5.712208847515191e+63,5.712208847515191e+63,256.667552655254
310,44225333398004061429732838340729878012027363723832270745251370289,-9.242548066117443e+63,-9.242548066117443e+63,9.242548066117443e+63,257.5035032162539
311,71558092601766452430641106302905217344934236440122960529002115744,-1.4954756913632634e+64,-1.4954756913632634e+64,1.4954756913632634e+64,258.3394537772538
312,115783425999770513860373944643635095356961600163955231274253486033,-2.4197304979750077e+64,-2.4197304979750077e+64,2.4197304979750077e+64,259.1754043382537
313,187341518601536966291015050946540312701895836604078191803255601777,-3.9152061893382714e+64,-3.9152061893382714e+64,3.9152061893382714e+64,260.0113548992536
314,303124944601307480151388995590175408058857436768033423077509087810,-6.334936687313279e+64,-6.334936687313279e+64,6.334936687313279e+64,260.84730546025355
315,490466463202844446442404046536715720760753273372111614880764689587,-1.0250142876651549e+65,-1.0250142876651549e+65,1.0250142876651549e+65,261.68325602125344
316,793591407804151926593793042126891128819610710140145037958273777397,-1.658507956396483e+65,-1.658507956396483e+65,1.658507956396483e+65,262.5192065822534
317,1284057871006996373036197088663606849580363983512256652839038466984,-2.6835222440616377e+65,-2.6835222440616377e+65,2.6835222440616377e+65,263.3551571432533
318,2077649278811148299629990130790497978399974693652401690797312244381,-4.342030200458121e+65,-4.342030200458121e+65,4.342030200458121e+65,264.1911077042532
319,3361707149818144672666187219454104827980338677164658343636350711365,-7.025552444519759e+65,-7.025552444519759e+65,7.025552444519759e+65,265.0270582652531
320,5439356428629292972296177350244602806380313370817060034433662955746,-1.1367582644977879e+66,-1.1367582644977879e+66,1.1367582644977879e+66,265.863008826253
321,8801063578447437644962364569698707634360652047981718378070013667111,-1.839313508949764e+66,-1.839313508949764e+66,1.839313508949764e+66,266.69895938725296
322,14240420007076730617258541919943310440740965418798778412503676622857,-2.976071773447552e+66,-2.976071773447552e+66,2.976071773447552e+66,267.53490994825285
323,23041483585524168262220906489642018075101617466780496790573690289968,-4.815385282397316e+66,-4.815385282397316e+66,4.815385282397316e+66,268.3708605092528
324,37281903592600898879479448409585328515842582885579275203077366912825,-7.791457055844868e+66,-7.791457055844868e+66,7.791457055844868e+66,269.2068110702527
325,60323387178125067141700354899227346590944200352359771993651057202793,-1.2606842338242182e+67,-1.2606842338242182e+67,1.2606842338242182e+67,270.04276163125263
326,97605290770725966021179803308812675106786783237939047196728424115618,-2.039829939408705e+67,-2.039829939408705e+67,2.039829939408705e+67,270.8787121922525
327,157928677948851033162880158208040021697730983590298819190379481318411,-3.300514173232923e+67,-3.300514173232923e+67,3.300514173232923e+67,271.7146627532524
328,255533968719576999184059961516852696804517766828237866387107905434029,-5.340344112641628e+67,-5.340344112641628e+67,5.340344112641628e+67,272.55061331425236
329,413462646668428032346940119724892718502248750418536685577487386752440,-8.640858285874552e+67,-8.640858285874552e+67,8.640858285874552e+67,273.38656387525225
330,668996615388005031531000081241745415306766517246774551964595292186469,-1.3981202398516182e+68,-1.3981202398516182e+68,1.3981202398516182e+68,274.2225144362522
331,1082459262056433063877940200966638133809015267665311237542082678938909,-2.2622060684390735e+68,-2.2622060684390735e+68,2.2622060684390735e+68,275.0584649972521
332,1751455877444438095408940282208383549115781784912085789506677971125378,-3.660326308290691e+68,-3.660326308290691e+68,3.660326308290691e+68,275.89441555825204
333,2833915139500871159286880483175021682924797052577397027048760650064287,-5.922532376729765e+68,-5.922532376729765e+68,5.922532376729765e+68,276.7303661192519
334,4585371016945309254695820765383405232040578837489482816555438621189665,-9.582858685020456e+68,-9.582858685020456e+68,9.582858685020456e+68,277.5663166802518
335,7419286156446180413982701248558426914965375890066879843604199271253952,-1.550539106175022e+69,-1.550539106175022e+69,1.550539106175022e+69,278.40226724125176
336,12004657173391489668678522013941832147005954727556362660159637892443617,-2.5088249746770677e+69,-2.5088249746770677e+69,2.5088249746770677e+69,279.23821780225165
337,19423943329837670082661223262500259061971330617623242503763837163697569,-4.059364080852089e+69,-4.059364080852089e+69,4.059364080852089e+69,280.0741683632516
338,31428600503229159751339745276442091208977285345179605163923475056141186,-6.5681890555291574e+69,-6.5681890555291574e+69,6.5681890555291574e+69,280.9101189242515
339,50852543833066829834000968538942350270948615962802847667687312219838755,-1.0627553136381246e+70,-1.0627553136381246e+70,1.0627553136381246e+70,281.74606948525144
340,82281144336295989585340713815384441479925901307982452831610787275979941,-1.7195742191910404e+70,-1.7195742191910404e+70,1.7195742191910404e+70,282.58202004625133
341,133133688169362819419341682354326791750874517270785300499298099495818696,-2.782329532829165e+70,-2.782329532829165e+70,2.782329532829165e+70,283.4179706072512
342,215414832505658809004682396169711233230800418578767753330908886771798637,-4.5019037520202054e+70,-4.5019037520202054e+70,4.5019037520202054e+70,284.25392116825117
343,348548520675021628424024078524038024981674935849553053830206986267617333,-7.284233284849371e+70,-7.284233284849371e+70,7.284233284849371e+70,285.08987172925106
344,563963353180680437428706474693749258212475354428320807161115873039415970,-1.1786137036869576e+71,-1.1786137036869576e+71,1.1786137036869576e+71,285.925822290251
345,912511873855702065852730553217787283194150290277873860991322859307033303,-1.9070370321718947e+71,-1.9070370321718947e+71,1.9070370321718947e+71,286.7617728512509
346,1476475227036382503281437027911536541406625644706194668152438732346449273,-3.0856507358588523e+71,-3.0856507358588523e+71,3.0856507358588523e+71,287.59772341225084
347,2388987100892084569134167581129323824600775934984068529143761591653482576,-4.992687768030747e+71,-4.992687768030747e+71,4.992687768030747e+71,288.43367397325073
348,3865462327928467072415604609040860366007401579690263197296200323999931849,-8.0783385038896e+71,-8.0783385038896e+71,8.0783385038896e+71,289.2696245342506
349,6254449428820551641549772190170184190608177514674331726439961915653414425,-1.3071026271920347e+72,-1.3071026271920347e+72,1.3071026271920347e+72,290.1055750952506
350,10119911756749018713965376799211044556615579094364594923736162239653346274,-2.1149364775809948e+72,-2.1149364775809948e+72,2.1149364775809948e+72,290.94152565625046
351,16374361185569570355515148989381228747223756609038926650176124155306760699,-3.4220391047730292e+72,-3.4220391047730292e+72,3.4220391047730292e+72,291.7774762172504
352,26494272942318589069480525788592273303839335703403521573912286394960106973,-5.536975582354023e+72,-5.536975582354023e+72,5.536975582354023e+72,292.6134267782503
353,42868634127888159424995674777973502051063092312442448224088410550266867672,-8.959014687127052e+72,-8.959014687127052e+72,8.959014687127052e+72,293.44937733925025
354,69362907070206748494476200566565775354902428015845969798000696945226974645,-1.4495990269481076e+73,-1.4495990269481076e+73,1.4495990269481076e+73,294.28532790025014
355,112231541198094907919471875344539277405965520328288418022089107495493842317,-2.345500495660813e+73,-2.345500495660813e+73,2.345500495660813e+73,295.12127846125003
356,181594448268301656413948075911105052760867948344134387820089804440720816962,-3.79509952260892e+73,-3.79509952260892e+73,3.79509952260892e+73,295.95722902225
357,293825989466396564333419951255644330166833468672422805842178911936214659279,-6.140600018269734e+73,-6.140600018269734e+73,6.140600018269734e+73,296.79317958324987
358,475420437734698220747368027166749382927701417016557193662268716376935476241,-9.935699540878654e+73,-9.935699540878654e+73,9.935699540878654e+73,297.6291301442498
359,769246427201094785080787978422393713094534885688979999504447628313150135520,-1.6076299559148387e+74,-1.6076299559148387e+74,1.6076299559148387e+74,298.4650807052497
360,1244666864935793005828156005589143096022236302705537193166716344690085611761,-2.601199910002704e+74,-2.601199910002704e+74,2.601199910002704e+74,299.30103126624965
361,2013913292136887790908943984011536809116771188394517192671163973003235747281,-4.208829865917543e+74,-4.208829865917543e+74,4.208829865917543e+74,300.13698182724954
362,3258580157072680796737099989600679905139007491100054385837880317693321359042,-6.810029775920247e+74,-6.810029775920247e+74,6.810029775920247e+74,300.97293238824943
363,5272493449209568587646043973612216714255778679494571578509044290696557106323,-1.1018859641837792e+75,-1.1018859641837792e+75,1.1018859641837792e+75,301.8088829492494
364,8531073606282249384383143963212896619394786170594625964346924608389878465365,-1.7828889417758035e+75,-1.7828889417758035e+75,1.7828889417758035e+75,302.64483351024927
365,13803567055491817972029187936825113333650564850089197542855968899086435571688,-2.884774905959583e+75,-2.884774905959583e+75,2.884774905959583e+75,303.4807840712492
366,22334640661774067356412331900038009953045351020683823507202893507476314037053,-4.667663847735386e+75,-4.667663847735386e+75,4.667663847735386e+75,304.3167346322491
367,36138207717265885328441519836863123286695915870773021050058862406562749608741,-7.552438753694969e+75,-7.552438753694969e+75,7.552438753694969e+75,305.15268519324906
368,58472848379039952684853851736901133239741266891456844557261755914039063645794,-1.2220102601430356e+76,-1.2220102601430356e+76,1.2220102601430356e+76,305.98863575424895
369,94611056096305838013295371573764256526437182762229865607320618320601813254535,-1.9772541355125325e+76,-1.9772541355125325e+76,1.9772541355125325e+76,306.82458631524884
370,153083904475345790698149223310665389766178449653686710164582374234640876900329,-3.199264395655568e+76,-3.199264395655568e+76,3.199264395655568e+76,307.6605368762488
371,247694960571651628711444594884429646292615632415916575771902992555242690154864,-5.176518531168101e+76,-5.176518531168101e+76,5.176518531168101e+76,308.4964874372487
372,400778865046997419409593818195095036058794082069603285936485366789883567055193,-8.375782926823669e+76,-8.375782926823669e+76,8.375782926823669e+76,309.3324379982486
373,648473825618649048121038413079524682351409714485519861708388359345126257210057,-1.355230145799177e+77,-1.355230145799177e+77,1.355230145799177e+77,310.1683885592485
374,1049252690665646467530632231274619718410203796555123147644873726135009824265250,-2.1928084384815437e+77,-2.1928084384815437e+77,2.1928084384815437e+77,311.00433912024846
375,1697726516284295515651670644354144400761613511040643009353262085480136081475307,-3.5480385842807207e+77,-3.5480385842807207e+77,3.5480385842807207e+77,311.84028968124835
376,2746979206949941983182302875628764119171817307595766156998135811615145905740557,-5.740847022762264e+77,-5.740847022762264e+77,5.740847022762264e+77,312.6762402422483
377,4444705723234237498833973519982908519933430818636409166351397897095281987215864,-9.288885607042986e+77,-9.288885607042986e+77,9.288885607042986e+77,313.5121908032482
