Level,Dimension,log10_alpha,log10_mass_GeV,log10_wavelength_meters,log10_N_weyl
84,259695496911122585,-5.427314908300116e+16,-5.427314908300116e+16,5.4273149083001144e+16,68.5786764302731
85,420196140727489673,-8.781579989278606e+16,-8.781579989278606e+16,8.781579989278605e+16,69.41462699127302
86,679891637638612258,-1.4208894897578722e+17,-1.4208894897578722e+17,1.420889489757872e+17,70.25057755227294
87,1100087778366101931,-2.2990474886857328e+17,-2.2990474886857328e+17,2.2990474886857328e+17,71.08652811327285
88,1779979416004714189,-3.719936978443605e+17,-3.719936978443605e+17,3.719936978443605e+17,71.92247867427277
89,2880067194370816120,-6.018984467129338e+17,-6.018984467129338e+17,6.018984467129338e+17,72.75842923527269
90,4660046610375530309,-9.738921445572943e+17,-9.738921445572943e+17,9.738921445572943e+17,73.59437979627259
91,7540113804746346429,-1.575790591270228e+18,-1.575790591270228e+18,1.575790591270228e+18,74.43033035727251
92,12200160415121876738,-2.5496827358275226e+18,-2.5496827358275226e+18,2.5496827358275226e+18,75.26628091827243
93,19740274219868223167,-4.12547332709775e+18,-4.12547332709775e+18,4.12547332709775e+18,76.10223147927235
94,31940434634990099905,-6.675156062925273e+18,-6.675156062925273e+18,6.675156062925273e+18,76.93818204027225
95,51680708854858323072,-1.0800629390023025e+19,-1.0800629390023025e+19,1.0800629390023025e+19,77.77413260127217
96,83621143489848422977,-1.7475785452948296e+19,-1.7475785452948296e+19,1.7475785452948296e+19,78.61008316227209
97,135301852344706746049,-2.827641484297132e+19,-2.827641484297132e+19,2.827641484297132e+19,79.446033723272
98,218922995834555169026,-4.575220029591962e+19,-4.575220029591962e+19,4.575220029591962e+19,80.28198428427191
99,354224848179261915075,-7.402861513889094e+19,-7.402861513889094e+19,7.402861513889094e+19,81.11793484527183
100,573147844013817084101,-1.1978081543481054e+20,-1.1978081543481054e+20,1.1978081543481054e+20,81.95388540627175
101,927372692193078999176,-1.9380943057370146e+20,-1.9380943057370146e+20,1.9380943057370146e+20,82.78983596727166
102,1500520536206896083277,-3.13590246008512e+20,-3.13590246008512e+20,3.13590246008512e+20,83.62578652827158
103,2427893228399975082453,-5.0739967658221345e+20,-5.0739967658221345e+20,5.0739967658221345e+20,84.4617370892715
104,3928413764606871165730,-8.209899225907255e+20,-8.209899225907255e+20,8.209899225907255e+20,85.2976876502714
105,6356306993006846248183,-1.3283895991729392e+21,-1.3283895991729392e+21,1.3283895991729392e+21,86.13363821127132
